Label,precision,recall,f1-score,support
Apple Device,1.0,1.0,1.0,200.0
Apple Find My Device (offline),1.0,1.0,1.0,200.0
Apple Find My Device (online),1.0,1.0,1.0,200.0
Apple Find My Tracker (lost),1.0,1.0,1.0,200.0
Apple Find My Tracker (nearby),1.0,1.0,1.0,200.0
Apple Find My Tracker (unpaired),0.99,1.0,0.995,200.0
Apple Find My Tracker Gen 2 (lost),1.0,1.0,1.0,200.0
Apple Find My Tracker Gen 2 (nearby),1.0,1.0,1.0,200.0
DULT (lost),0.936,0.88,0.907,200.0
DULT (nearby),0.888,0.95,0.918,200.0
Google Find My Tracker (lost),1.0,1.0,1.0,200.0
Google Find My Tracker (unpaired),0.99,0.995,0.993,200.0
Samsung SmartThings Tracker (lost),1.0,1.0,1.0,200.0
Samsung SmartThings Tracker (nearby),1.0,1.0,1.0,200.0
Tile Tracker (lost),0.995,1.0,0.998,200.0
Other Device,1.0,0.998,0.999,3000.0
,,,,
accuracy,0.993,0.993,0.993,0.993
macro avg,0.987,0.989,0.988,6000.0
weighted avg,0.993,0.993,0.993,6000.0
